address,emergency_end_stakes
0xFc36F5de0CD13cbE2cCDCC168fa7324F70110814,1
0x2CDfE5b71D5a7F0d4763fA450868738F1e3204A3,1
0x0446Dda3F0Ddb146D360EE19364Aef24C55641f3,5
0x8F8347A1dcb96Fe7d67713334304B2a2bF953B5f,39
0x687B838f977e82f2B8097607F3bF36C61d9684dd,1
0x7Fd034823B5B0337690fE29b7B77B8C8f6F665cb,3
0x8E1fB4b6fC18a41cF35e8e92d6090Adc6C4Eb83d,1
0x0E72Ee922D640b155ffdfA38D58Bf16A3608234E,1
0xB222F6d3C7294B7ecac79910125a06e860971399,1
0x548c70a3d215a5D14063d5DF97F257c555c487A2,2
0xeC3D7D05c7eb9a0B7f930931fa9e5220Ea09E202,15
0xf296BAe2Cec59FBEeBf52cA3ddbbE80776991492,1
0xb44465257204848c3eC077Ae99cb5b925b36afb8,3
0x5253940638e437427657CBeeDD888fd7A1FA2ED1,1
0x4019397310EC0bBD527a45c5eC632d08726a9B69,1
0xAA7d727D4f49CfeCC1601Bcf272C022Dc938aFF0,4
0xE86658F527226Eae87578aa659c8bA042f024C3C,2
0x1386f3fF793f506171577c696A411A7BC7f857dF,3
0x187806525F9c012e8858ac52d966f79013172491,6
0x14C2c5436D2606bCcD2Fb4A4Adf5cFEC52C68a58,1
0xC3D5f82592B5Ed8FA06648110acC989e88D43d3F,2
0x416E058f15a42E765540a91d4CEdc6163ad64d38,1
0x26d14679FEB0Ee3FE93ED6e4eecD0cd2b7e4FC12,4
0xE51A53FAE18b3BDB6b46B0bc9E6bEF68dCFA8408,19
0xFb7890AC95a49B48c458013b197992189C8D3407,1
0x7B85Cf2Bf693F03FDC9FA3B0E5eAd09F9C297d72,22
0xDec402216f595655E97e8d8A8f39f75a38222CA4,1
0xb2a119339e2482483B9709fC96AB3d68398e52Ca,1
0x4E476c0602a8B2e97D5592CcE6bfd0816D8EEEA6,12
0x62C8Aa8b705c9e6692fE4887AC87578dBbf42C59,1
0xd7F6B217A3deD888F82dbFBFaD00756A0e51eFd1,1
0x307969b69078E9cDa3FC28B4B3198561BAf02af5,18
0x3A2effD7d1D981932Ae34d45eE9E8Ab61054d425,2
0x19c43b8feA5569AFB1EF058d5Fd991E85eBFdB6A,3
0x4022904B116Ce855F9a66528a737447AEC6e42E8,2
0x15B83bFa727F87F54318E3a7480Ba2178C0E93f1,1
0x106811Fc98139cdEB4cf838bB8496c1499C624ee,4
0x5Ac4F409c440Eb294bc2a2e8253557a5A6CcFF85,1
0xc87b7FcFc7d19723AA5c8F2396fa70D428F40d1B,1
0x649D40539eAA99226Cf68d037a709886Cfee34BF,3
0x00E32099285D1B589e415eCb9F877a701474490e,2
0xdf742ed097facE1C638C3539c2704f1f7FEDd30A,3
0x8BCD92d5e202231848C7d8f6a8ea6a1F953a2c68,1
0xd2ecC4c64f73f4b9602be5b1E546f4773e20321d,1
0x646A25D1578a2a4DC770433b4f4558Ca4a5C6312,3
0x979ec4ffa550f15ca9e75B5100c907c28190cB74,1
0x9CF3dB00Dd5E7aC4bb5415d00b72BE78F743744C,1
0x26e429a60CdA8Fd5D7bf02178462D75693Fb9c85,1
0xD7bcB8E20d2Ab8ED4056A884b646Dc41610cF403,1
0xAd005738f0c116d98a38Efa23C959C20e1d7aa1f,1
0x05dD0bEF8881024A3f1Dc5728742887648e88aac,2
0xE7eDCfA6bC43713901Cf4C8b13900Bf6d9CAF0ec,13
0xb650157d45fAEebAF19dCfbd293EDCE3F1368cF1,1
0x48F1e214a030F2030A42212Db87f9EbF87E69708,9
0xe321A19C0987117135CfdbDaD20D51b0cA1d01Cb,1
0x676b82422E9753Ce339Aa1C42511F6265b11a177,6
0x0e5646840115e964366ba20acF704145CE162E34,1
0x23bE90335e79D3245615985d91f69814f98a0faB,2
0xa554B4024EE2BE912Eb519Ba0144fBB82FECBCA0,1
0x177303C36EF85123563F10f695394d4c9105C064,1
0x6286F0B7fAd31b71ECb55aF481ff02D2B62C9586,1
0xbb4528EBe6BB36123A173E10EaDECf10dcE0474c,2
0x5C054f7361997cb10B35469ce186B7A1e2a8999B,1
0x0510f474D03994361c7004FBd0577Af2b6176935,18
0x6d2e8EBc7Ba3EFeB01A94D4Af55Ac76EfC006B34,1
0x20272463aa2A7c0E3F11555B4FB9cB542278b316,2
0x7a3225df34cCEaCf7Fec7B047FEf1fE1D148F63E,1
0x543CAa7310Bb4e1ecaa3cB9f28fa68E26997EACe,1
0x3cCF093f4184275A278053ca68e3f7EBf0070820,1
0x3Bc7a460153BC3AdeC726dc78656422fB203C452,1
0xE3C7803888ccA4408BE541de62fe1344971FF329,2
0x1Ff9845a24998E03B903528dc016E90b06Ac2AeA,8
0xa830f1763BDd771ddC7Dd10756d88f17df08c541,6
0x9CD5B2152f93dF7e1E1f5E9a54c5829458a5fA88,1
0x5D4821e0c5B96f6B26aD1a3d080669a49b99fd54,1
0x43e3bb9DF1FfFe7A79A8676dD5ceB7c6891158ED,4
0xeb585BA25c2976454ceB67a3e707591488966330,7
0x7eCc8253EEa191D97970307e0b9A6a215C8d63c1,1
0xA1FAb9B56B2d4465dAA1a2aEC80F443d34E507F6,1
0x882978E05a0097157948020e151E7A3aa810f26E,16
0xC54Fa4973BA49C7ebc911061Ea010F7BBbce1BbA,4
0x0E3d2E7292d5C856fe65d014Efa5C1570C25d8FA,1
0x02597524979E32aE9D6Bf086aD1191f031DDaB82,1
0x2906606318D7323e43B11547fC0Aa8dC68C2C18B,1
0x40121018b861103051383e6B3bf24526A8492950,1
0x41998340920A97D2558b3073b5dEfFcdd9f309E6,1
0xd7b5C0447F253A20a1E6E3fe7250B0317C159e75,9
0xA1F081707e4DFE44487E0ea0438bEB05ed533805,1
0xbC808Ff78e08f7926e9Ba292ba6890cfcc440Cd7,2
0x9716Ff369914c68DD10B7eFE567Ff0b212d6d90a,17
0x5699Af36CfB1e73cca6178F99AdB9d7afc100C1c,1
0x5fC8ceC2E72e16887B1c7c5F3DC9AB69c2c341Bc,2
0xD0D5aEf2DfC3f1648A96c0Fc53B3Ab17A15d52D5,1
0x564EF6139b8B412C2ad8716D2406E5f4Ab075b44,1
0xf10b6d8CBA2c397f2D046854CBd74288E8aca1D1,1
0x430B83848823712B7D1c0Ef2874624cD63820f75,5
0x70DbfD578D954e7C03e49a5a20102d3E0cdADCde,1
0xCBBE17De5e61e746DCd43E8D4A072505d0747FeA,2
0x94d271411f2B2496bf71C0979755ad6124B937Ac,1
0xc1b4216ef166EE5309800d799E7A14C2b211E427,1
0xb56CD6D142e4487E04CBCCEB2b20f01Ce523Fcf8,1
0x58FcFAc88E371D101b616442Eeb137313DAe58Dc,5
0xaa31c9C7c9Ca0f7DE3e8A445881cE6Ce09a48369,1
0xB00eBc85376f468512AFf41d4C931Cb980e49766,9
0xE5112085204C752eD89D7461D8b9D8F0d4E887Aa,2
0x09627c8275439C827280a4d5b7E7059cF54ED902,1
0x3bC10Bc1349FD2eb4D63A25d6dF2d73CAd266ca7,2
0xF3bF7Bd93A7Da35c768fD75147be4Ed0feb02230,1
0xC9C21A9F54ef2851A8DEDb48B23E0F010ce1a82a,1
0x1fA429EC99F84108733d63074Cd8f5D143Bb2734,15
0x67AA526A451F4DFaC229a59D728612E9d11A83A3,1
0x1E74Bd6A6C94bCf00eDeB56df5839D83cEde13a4,1
0x20aCb4Ebda2e571fDC3A69BAe5f3b18F5bC2BA83,5
0x4e8Dc461bc10e1709ce213dE5406617bF05906f8,2
0xb612ECd1db90f52EF2aC9237c5E5f37f50DB41Ab,4
0xd0fE6D5E1a54AC1FDa3157EE1b8bb0B93d2993eC,1
0x997276717E68266F8588EfAd560AeD5a04b70c7b,2
0xD61fb17fAC17f5D0Ef6717f313664Cc3E67bC988,1
0x1882F63A3Ca0ee7A746bE26631384113C2108DA5,2
0xE76F50a221521c02436E3F2aF0aF59C3f57918Fc,1
0x921bDEe2664EdAa95eAC1f7c6153a9E2A55bE96c,1
0x3f6F015fDb3B41ac8Ec511aD730807180396Eb1C,2
0x9749D649a427099d84249eAb9F352bC58Bc75e6e,4
0x4b82208bc05e00c202Bc9C5aDC7006C4C6eaA069,23
0x9aa37d534Fd675a550a750Ff4E8c32702851db2F,1
0x652BF532Cf8bb55ff3623Dd3c3834f07FA7D1336,1
0x9131484BA720edE48e493355CB0b68CDD90b148e,22
0x9753aDb9F7f080fEbCB094591290808eee3605de,16
0x01B5A7C38e7135A43A1490b9152C716e83B49875,1
0x0fce9d4299190A016DCbFCa63D2007c77D090051,2
0x5877b78DAf9eEa537B79C5511645FD820e8e57c8,5
0xDec71ce71Fce31b52440EA45525b927730cDeF96,2
0x1ce19ef598a81a74DE4204d1fB28119106d5b157,1
0x3960bc2fBEE188663f4b880f0129c48C69b95455,1
0x75673f7E5E5D5A8AE2D070316A7E8Ee91563D775,40
0x7639162686487ED23B12a249E589805ee2b3b848,1
0x749C581d86E46DB5c74C18721513C1030C9b4161,1
0x1C6f5460a0B38Bda22E42036420c236BEa4EeEe1,1
0x8195DEe55aEC3AE6f3D924f1f2bAc7D8386870eC,11
0x6e0e9e076D7e7e3418B4eEB50E173E435a772676,1
0x4b4e52Bf381e633849fb70F025aa592e3Ec6E41A,6
0xF44f978BE6a5B2bcA52856f24B9ef131B2cB13Cc,2
0xF18D5ae2d07822d0154685Dea3a7C74e30bFaE30,23
0xDC645eA873E03E4c78CB2FC2Ce85793f554D445e,1
0x480c740F851C5e4973A91a74194689e78Cfaa1BD,1
0xeEf5FB47a811C85b690b7C891577B4d7e290D160,10
0xA54b9F30bd9826778c1F09C49e490783Caa26550,2
0x47DC83a2BBf160406C38d851856CF223d23D3A27,1
0x19894487ed37b95f69Ee2d8A2930260B3FBA711A,1
0xd4Ac86Ce5dc6D35e9989bF9dA904e0A87f8eeC6b,18
0x78D07cd647617566eBb5eF05694356656fD177E9,3
0xcAea18a36dE925873329D1d6439de373932a2F0D,1
0x94938681509Cc2c82D59A9b8Ec2C2e4c3eb5d927,1
0x09aE2E798971cD4D843195ccfB3D76002724A823,1
0x84F9331F91165E609FD43459867a037c26E5b0FE,1
0xD1CdFF8Fa94F399345572467f8F19586459AfbB8,1
0xd891C13e5a9FFc0243F484B66b2727A1B6Fbb0A7,1
0xc01c3Ac7a76e3743c2DC98D2C03f0B697df3d3De,1
0xA2C96D26d9C468c09CC49A2177e4E1bA3dC80B04,1
0xf1dEfaAD5E9b56C5c168a07F5c7EEfE62dCAb76D,1
0xdb15349BBAC039c709b899400aAaF5f906ee6D57,1
0xD339a51D3AbDa41f022D67BE16157F6Ba940dC12,1
0xF85834350530f5528a922AcF8342B420329e245A,1
0xEEfca716307f3472D3d3eAeb1bDeCe025188e593,1
0xd003b3120c99549F1f2762CF3ED6DB6e2Ad5f74d,1
